Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
12-1-205_R1_paired	18.993726753367383	47.0	146.11407270876944	0.0	5681543.0
12-1-205_R2_paired	18.299389861492983	48.0	118.25353341513036	0.0	5681543.0
AG0004_R1_paired	19.991935607397494	50.0	146.06592158731073	0.0	9846289.0
AG0004_R2_paired	19.616400602694355	50.0	132.51387969619825	0.0	9846289.0
B2_R1_paired	10.89172566632125	50.0	249.9916813445823	9.090909090909092	7977972.0
B2_R2_paired	10.26733436012141	51.0	249.72229521487415	9.090909090909092	7977972.0
B51_R1_paired	7.981515786229934	50.0	249.99192585110114	9.090909090909092	7074306.0
B51_R2_paired	7.568976849844773	50.0	249.72206093431637	9.090909090909092	7074306.0
BF0072_R1_paired	20.433576907285357	49.0	144.3691810442465	0.0	7902234.0
BF0072_R2_paired	20.143647260865833	49.0	133.16913976478045	0.0	7902234.0
BN0019_R1_paired	21.222943064186538	49.0	148.2445084970426	0.0	9596280.0
BN0019_R2_paired	20.668004325911113	49.0	128.12434547553843	0.0	9596280.0
BN0119_R1_paired	18.035918523044074	50.0	131.27262511030486	0.0	5461001.0
BN0119_R2_paired	18.455589207758905	50.0	148.25640482395076	0.0	5461001.0
BN0123_R1_paired	18.772220518032924	50.0	147.97019694097244	0.0	6431521.0
BN0123_R2_paired	18.33785318481175	50.0	131.46561349951278	0.0	6431521.0
BN0202_R1_paired	19.34351245672906	50.0	148.41797333917685	0.0	6909089.0
BN0202_R2_paired	18.92452102281787	50.0	128.99606243312252	0.0	6909089.0
BN0252_R1_paired	20.54871326197778	50.0	148.2436063172861	0.0	9167291.0
BN0252_R2_paired	20.17166169210016	50.0	132.8098419696724	0.0	9167291.0
Br48_R1_paired	23.17940091537986	50.0	147.60448124919145	0.0	8278763.0
Br48_R2_paired	23.21558343131815	50.0	147.7414753870838	0.0	8278763.0
Br58_R1_paired	2.287074488573026	46.0	74.04467126234631	9.090909090909092	318415.0
Br58_R2_paired	2.248523034406304	46.0	73.83672565676868	9.090909090909092	318415.0
Br62_R1_paired	4.581962063179645	50.0	98.57090211396422	0.0	11109838.0
Br62_R2_paired	4.363488298159822	50.0	97.29520574467422	0.0	11109838.0
Br80_R1_paired	20.677567795206386	49.0	231.61271731245466	9.090909090909092	4797240.0
Br80_R2_paired	19.763025211873227	49.0	184.70029516972258	18.181818181818183	4797240.0
CD0065_R1_paired	22.3128180839644	50.0	148.20855025925798	0.0	8165998.0
CD0065_R2_paired	21.68723533590409	50.0	130.68314809775853	0.0	8165998.0
CD0142_R1_paired	22.62153149612017	50.0	148.28486112837302	0.0	11433329.0
CD0142_R2_paired	22.387281340211246	50.0	132.8393440790517	0.0	11433329.0
CH0043_R1_paired	22.22388793801869	50.0	148.25379406063274	0.0	11876787.0
CH0043_R2_paired	21.719629847110156	50.0	130.17001475230632	0.0	11876787.0
CH0072_R1_paired	20.144212229938432	50.0	147.71241685093915	0.0	8832030.0
CH0072_R2_paired	19.82606333274957	50.0	131.06575509820505	0.0	8832030.0
CH0452_R1_paired	17.560456313423714	50.0	148.01756957685222	0.0	6717464.0
CH0452_R2_paired	17.219223592433124	50.0	132.72761804157045	0.0	6717464.0
CH0461_R1_paired	21.474113475423295	50.0	148.3289993571592	0.0	10722717.0
CH0461_R2_paired	21.006848988059517	50.0	127.65355291946994	0.0	10722717.0
CH0533_R1_paired	19.00700815491693	50.0	132.5796532664476	0.0	7064387.0
CH0533_R2_paired	19.31128214160296	50.0	148.17361520539575	0.0	7064387.0
CH1103_R1_paired	19.132364962605124	50.0	148.13521716077474	0.0	6320041.0
CH1103_R2_paired	18.664359154045897	50.0	132.1332526165574	0.0	6320041.0
CH1164_R1_paired	16.600529531255816	50.0	148.11444463599972	0.0	5278430.0
CH1164_R2_paired	16.229519306140574	50.0	132.41782404995425	0.0	5278430.0
CM0028_R1_paired	23.94521632085805	50.0	146.54029723374487	0.0	16145004.0
CM0028_R2_paired	23.245029680619382	50.0	131.15717995486406	0.0	16145004.0
EI9411_R1_paired	12.670464579563145	48.0	96.69031961064809	0.0	6184431.0
EI9411_R2_paired	12.804083685456973	48.0	95.44942938161975	0.0	6184431.0
EI9604_R1_paired	11.571784016594009	48.0	96.54225024005667	0.0	5668453.0
EI9604_R2_paired	11.522511903283316	48.0	95.39170951933447	0.0	5668453.0
FR1067_R1_paired	19.41951871508661	49.0	146.27045508679467	0.0	12729352.0
FR1067_R2_paired	18.98209085106602	49.0	132.65356626166044	0.0	12729352.0
FR1069_R1_paired	19.76243573207924	49.0	146.26842160004577	0.0	14489173.0
FR1069_R2_paired	19.35784680082972	49.0	132.2976855890947	0.0	14489173.0
G17_R1_paired	5.692780329473592	52.0	98.82357042339265	0.0	17814173.0
G17_R2_paired	5.352031537343137	52.0	97.42149815206129	0.0	17814173.0
GFSI1-7-2_R1_paired	33.05604669115158	45.0	73.34941914723848	0.0	26630587.0
GFSI1-7-2_R2_paired	32.586644906060485	45.0	73.4817127012634	0.0	26630587.0
GN0001_R1_paired	16.9000978437613	49.0	146.2786797589378	0.0	10358987.0
GN0001_R2_paired	16.774479154285658	49.0	132.8666242172135	0.0	10358987.0
GY0040_R1_paired	20.78653736056077	50.0	146.4875513627784	0.0	8698663.0
GY0040_R2_paired	20.316110986771974	50.0	133.34864771747107	0.0	8698663.0
IN0017_R1_paired	19.420404150658385	49.0	145.00546639495974	0.0	5135926.0
IN0017_R2_paired	18.999583010835835	49.0	132.68042316030255	0.0	5135926.0
IN0054_R1_paired	22.298365459415592	50.0	148.1695274966206	0.0	10274699.0
IN0054_R2_paired	21.98738129790638	50.0	131.87272366810942	0.0	10274699.0
IN0059_R1_paired	18.333579642012793	49.0	148.16328702198058	0.0	4569218.0
IN0059_R2_paired	18.095438316298953	49.0	132.0904215994947	0.0	4569218.0
IN0114_R1_paired	22.03038444825762	50.0	147.8835813781507	0.0	9730634.0
